title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
High & Low The Movie,MOVIE,2016,,129,action,JP,tt5659172,6.6,563
Tiffany Haddish: She Ready! From the Hood to Hollywood!,MOVIE,2017,,65,"comedy, documentation",US,tt9238720,6.6,526
72 Dangerous Animals: Asia,SHOW,2018,TV-14,47,documentation,US,tt8728268,6.6,517
Samantha!,SHOW,2018,TV-MA,28,comedy,BR,tt6626676,6.6,513
Pup Academy,SHOW,2019,TV-Y,26,family,US,tt10302548,6.6,498
High & Low: The Worst,MOVIE,2019,,125,"action, comedy",JP,tt19783642,6.6,487
Midnight Asia: Eat \\267 Dance \\267 Dream,SHOW,2022,TV-MA,37,documentation,SG,tt16583602,6.6,474
My Stupid Boss 2,MOVIE,2019,,94,"comedy, drama",ID,tt10039468,6.6,451
Eyes of a Thief,MOVIE,2014,,98,drama,PS,tt2993406,6.6,443
Sparta,SHOW,2018,TV-MA,53,"drama, thriller",RU,tt6840106,6.6,443
Welcome to the Family,SHOW,2018,TV-MA,48,comedy,ES,tt7490342,6.6,442
Love (ft. Marriage and Divorce),SHOW,2021,TV-PG,69,"drama, romance",KR,tt13814840,6.6,433
Abla Fahita: Drama Queen,SHOW,2021,TV-14,25,"drama, comedy, crime",XX,tt11570224,6.6,433
Larva Island,SHOW,2018,TV-Y7,8,"comedy, animation","KR, US",tt9077194,6.6,416
AMO,SHOW,2018,TV-MA,24,crime,PH,tt7218736,6.6,410
Joan Rivers: Don't Start with Me,MOVIE,2012,R,68,comedy,US,tt2519318,6.6,408
Fire Chasers,SHOW,2017,,58,documentation,US,tt7293754,6.6,368
Styling Hollywood,SHOW,2019,TV-14,37,reality,US,tt10715202,6.6,355
Govindha Govindha,MOVIE,1993,,145,"drama, action, crime",IN,tt0192087,6.6,351
Nate: A One Man Show,MOVIE,2020,,59,comedy,US,tt10798934,6.6,346
Poshter Girl,MOVIE,2016,PG-13,140,comedy,IN,tt5323386,6.6,328
Narcoworld: Dope Stories,SHOW,2019,TV-MA,40,"crime, documentation",US,tt11215112,6.6,317
Worn Stories,SHOW,2021,TV-MA,30,documentation,US,tt14177168,6.6,311
Isoken,MOVIE,2017,,100,"romance, drama, comedy",NG,tt6685776,6.6,306
The Mafia Dolls,SHOW,2009,TV-14,43,"drama, action",CO,tt1585368,6.6,284
